numero_passage,sortie,sortie_choix_libre,sortie_passage_ignore,nombre_de_cases,nombre_de_coches_requises,action,duree,environnement,illustration,carte,description_fin,combat,blessure,objet_acquis,objet_perdu,objet_requis,type_de_stockage,competence_requise,test_aleatoire,code_acquis,code_perdu,code_requis,etat_du_monde_acquis,etat_du_monde_requis,divinite_acquise,divinite_perdue,divinite_requise,resurrection_acquise,resurrection_perdue,benediction_acquise,benediction_perdue,niveau_equipage_modifie,titre_et_honneur_acquis,titre_et_honneur_perdu,sortie_objet_acquis,sortie_objet_perdu,sortie_objet_requis,sortie_test_competence,sortie_test_aleatoire,sortie_code_acquis,sortie_code_requis,sortie_etat_du_monde_acquis,sortie_etat_du_monde_requis,sortie_condition_requise,sortie_classe_requise,sortie_divinite_acquise,sortie_divinite_requise,sortie_benediction_perdue,sortie_benediction_requise,sortie_titre_et_honneur_requis,sortie_niveau_equipage_modifie,sortie_niveau_equipage_requis,sortie_nombre_de_coches_requises,sortie_autre_livre,doute,commentaire
1d,20,0,,,,naviguer,,mer,,,,,,"charde (16), épée, gilet en cuir",,,,,,Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,les objets acquis sont ceux accordés au début de l'aventure par les règles
2,676,0,1,,,"dialoguer, voyager",,"montagne, fort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,missive codée,,,,,,,,,,,,,,,,,,,
,98,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distribution,,,,,,,,,,,,,,,
,474,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,665,2,,,,voyager,,colline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,271,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,276,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,220,0,,,,valider une quête,,,,,,,,"charde (100), trident gravé de runes",filet d'or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,652,0,,,,escalader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matériel d'escalade,Exploration,,,,,,,,,,,,,,,,,,
,529,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,,,,,,,,,,,,,,,,,
